一	弌 一
上	丄 上
下	丅 下
世	丗 世
丘	丠 丘
乃	廼 乃
久	乆 久
乘	乗 乘
乾	亁 乾
事	亊 事
二	弍 二
亞	亜 亞
亡	兦 亡
享	亯 享
京	亰 京
仁	忈 仁
仙	僊 仙
仞	仭 仞
以	㠯 以
份	彬 份
佇	竚 佇
低	仾 低
佑	祐 佑
佞	侫 佞
併	倂 併
俎	爼 俎
俞	兪 俞
俟	竢 俟
信	伩 信
俯	頫 俯
俱	倶 俱
個	箇 個
倏	倐 倏
倘	儻 倘
值	値 值
偃	㫃 偃
假	仮 假
停	仃 停
健	徤 健
偷	偸 偷
僞	偽 僞
傘	繖 傘
備	偹 備
傳	伝 傳
傻	儍 傻
亂	釠 亂
僥	徺 僥
僩	僴 僩
僭	僣 僭
價	価 價
儉	倹 儉
光	灮 光
兒	児 兒
兔	兎 兔
全	㒰 全
兩	両 兩
其	亓 其
冉	冄 冉
冑	伷 冑
冒	冐 冒
冗	宂 冗
冢	塚 冢
冤	寃 冤
冪	羃 冪
冰	氷 冰
冽	洌 冽
凡	凣 凡
凳	櫈 凳
函	圅 函
刃	刄 刃
刈	苅 刈
刊	刋 刊
刨	鉋 刨
刷	㕞 刷
券	劵 券
剁	刴 剁
剃	鬀 剃
剋	尅 剋
剩	剰 剩
創	刱 創
劍	釼 劍
劑	剤 劑
劓	㓷 劓
劫	刦 劫
勃	㔜 勃
勞	労 勞
勤	懃 勤
勳	勲 勳
勸	勧 勸
包	勹 包
匆	悤 匆
匙	鍉 匙
匝	帀 匝
匯	滙 匯
匹	疋 匹
卉	芔 卉
卒	䘚 卒
協	勰 協
博	愽 博
卯	戼 卯
即	卽 即
卸	缷 卸
厄	戹 厄
參	叅 參
叔	尗 叔
叟	叜 叟
叢	樷 叢
叫	呌 叫
叵	尀 叵
吝	恡 吝
吞	呑 吞
吟	唫 吟
吳	呉 吳
吸	噏 吸
吹	龡 吹
吻	呡 吻
呆	騃 呆
告	吿 告
呼	嘑 呼
和	咊 和
咒	呪 咒
咩	哶 咩
咬	齩 咬
哂	吲 哂
哲	悊 哲
唁	喭 唁
唧	喞 唧
唬	諕 唬
唾	涶 唾
啃	齦 啃
啕	咷 啕
啖	啗 㗖 啖
啗	㗖 噉 啖 啗
啜	歠 諁 欼 啜
啞	瘂 唖 啞
啟	啓 啟
啣	㘅 啣
啼	嗁 啼
喃	諵 娚 嫐 喃
善	譱 善
喜	憙 喜
喧	吅 諠 喧
單	単 單
喻	喩 喻
嗅	齅 嗅
嗉	膆 嗉
嗥	嚎 嘷 嗥
嗽	瘶 嗽
嘆	歎 嘆 嘆
嘈	䜊 嘈
嘍	謱 嘍
嘎	尜 嘎
嘗	甞 嘗
嘩	譁 嘩
嘯	嘨 歗 嘯
嘴	觜 咀 嘴
嘿	默 嘿
器	噐 器
噴	呠 歕 噴
嚎	嗥 噑 嚎
嚏	嚔 嚏
嚴	厳 嚴
囁	讘 囁
囂	嚻 囂
囊	嚢 囊
囌	蘇 囌
圈	圏 圈
國	圀 囯 國
圍	囲 圍
圓	圎 円 圓
圖	図 圕 圖
團	団 團
圬	杇 圬
圭	珪 圭
圻	垠 圻
址	阯 址
坎	埳 坎
坑	阬 坑
坤	堃 坤
垂	埀 垂
垓	陔 垓
垠	圻 垠
域	㽣 域
堊	聖 堊
堤	隄 堤
堯	尭 堯
場	塲 場
塊	凷 塊
塑	塐 塑
塔	㙮 墖 塔
塗	凃 塗
塢	鄔 隝 隖 塢
填	塡 填
塹	壍 塹
增	増 增
墩	墪 墩
墳	坆 墳
壎	塤 壎
壓	圧 壓
壘	塁 壘
壞	坯 壊 壞
壤	壌 壤
壩	垻 壩
壹	壱 弌 壹
壺	壷 壺
壽	夀 壽
多	夛 多
夜	亱 夜
夠	彀 夠
夢	夣 夢
夭	殀 夭
奇	竒 奇
奈	柰 奈
奎	奞 㚝 奎
奔	逩 犇 奔
奕	弈 奕
奘	弉 奘
奩	匳 奩
奶	妳 嬭 奶
她	他 她
妊	姙 妊
妍	姸 妍
妒	妬 妒
妙	玅 妙
妝	粧 妝
妤	伃 妤
妳	你 嬭 奶 妳
姆	姥 姆
姊	姉 姊
姣	㚣 姣
姥	姆 姥
姪	侄 姪
姬	姫 姬
姻	婣 姻
娛	娯 娛
娟	姢 娟
娠	㛛 娠
娩	嬔 嬎 㝃 娩
婀	娿 婀
婦	媍 婦
婿	壻 聟 婿
嫩	媆 𡞾 嫩
嫵	娬 嫵
嫻	嫺 嫻
嬌	撟 嬌
嬝	嫋 裊 嬝
嬰	孾 嬰
孀	霜 孀
孃	嬢 孃
孚	孵 孚
孵	孚 孵
孶	孳 孶
學	斈 學
孽	孼 孽
它	佗 牠 它
完	煙 完
宜	冝 宐 宜
宴	讌 宴
宿	㝛 宿
密	宻 密
寇	冦 宼 寇
富	冨 富
寓	庽 寓
察	詧 察
寡	關 寡
實	実 寔 實
寧	寍 寧
寨	砦 寨
寫	冩 寫
寬	寛 寬
寶	寳 寶
專	専 耑 專
對	対 對
尚	尙 尚
尢	尣 尢
尷	尲 尷
尿	溺 脲 尿
居	㞐 居
屏	屛 摒 屏
岐	歧 岐
岫	峀 岫
峒	洞 峒
峨	峩 峨
峭	陗 峭
島	嶌 嶋 島
崇	崈 崇
崎	埼 嵜 碕 崎
崑	崐 崑
崔	磪 崔
崖	崕 厓 崖
崙	崘 侖 崙
崧	嵩 崧
嵇	嵆 嵇
嵩	崧 嵩
嵯	嵳 嵯
嶄	巉 嶄
嶇	㠊 嶇
嶔	崟 嶔
嶝	磴 嶝
巉	嶄 巉
巍	魏 巍
巔	巓 巔
巖	巌 巖
川	巛 川
巡	廵 巡
巢	巣 巢
巽	巺 巽
帆	㠶 帆
帚	菷 箒 帚
帳	賬 帳
帶	帯 帶
幕	幙 幕
幟	旘 幟
幡	旛 幡
幢	橦 幢
幣	幤 幣
幫	幚 幇 幫
幽	凼 幽
底	㡳 底
店	坫 店
庶	庻 庶
庸	㐯 𠆌 庸
庾	斞 庾
廁	厠 廁
廄	廐 廏 廄
廉	亷 廉
廝	㒋 廝
廟	庿 廟
廠	厰 廠
廢	廃 廢
廣	広 廣
廳	庁 厛 廰 廳
廾	卄 廿 廾
廿	廾 卄 廿
弁	辨 辧 辯 瓣 弁
弈	奕 弈
強	彊 強
彈	弾 彈
彊	強 彊
彗	篲 彗
彙	彚 彙
彫	㓮 彫
彬	斌 份 彬
彷	髣 徬 彷
彿	髴 彿
往	徃 往
徑	逕 俓 徑
從	従 從
徠	勑 倈 來 徠
徨	遑 徨
復	覆 複 復
徬	彷 徬
徵	徴 徵
德	徳 悳 惪 德
徹	澈 徹
忍	㣼 忍
怪	恠 怪
恍	怳 恍
恩	摁 恩
恿	慂 恿
悠	滺 悠
悴	忰 悴
悶	懣 㥃 悶
悽	淒 悽
惇	敦 惇
惕	悐 惕
惠	恵 惠
惱	悩 惱
愍	憫 愍
愧	媿 愧
慈	㤵 慈
慎	愼 慎
慚	慙 慚
慟	憅 慟
慷	忼 慷
慼	慽 慼
憔	顦 憔
憩	憇 憩
憫	愍 憫
應	応 應
懣	悶 㥃 懣
懵	懜 懵
懶	嬾 懶
懷	懐 怌 懷
懺	懴 懺
戛	戞 戛
戟	㦸 戟
戰	戦 戰
戲	戱 戲
戶	戸 戶
戾	戻 戾
扁	碥 扁
扇	搧 煽 扇
扛	摃 扛
扯	撦 扯
扳	攀 扳
扼	㧖 搤 扼
抉	刔 抉
抱	抔 抱
抿	㨉 抿
拂	払 拂
拉	柆 拉
拓	摭 拓
拔	抜 拔
拖	拕 拖
拗	抝 拗
拚	抃 𢬵 拚
拜	拝 拜
拯	抍 拯
拴	揎 拴
拼	摒 拼
拿	拏 挐 拿
挫	繲 挫
捆	綑 捆
捍	扞 捍
捏	揑 捏
捲	巻 捲
捶	搥 箠 捶
掃	埽 掃
掏	搯 掏
掘	撅 掘
掩	揜 掩
掬	匊 掬
插	挿 揷 扱 插
揪	揫 揪
揭	掲 揭
搆	構 搆
搔	掻 搔
搖	揺 搖
搗	擣 搗
搞	攪 搞
搪	傏 搪
搬	搫 搬
搭	搨 撘 搭
摒	屛 屏 拼 摒
摭	拓 摭
撇	撆 撇
撫	拊 捬 撫
撳	搇 撳
擄	虜 擄
擇	択 擇
擊	撃 擊
擋	攩 擋
擒	捦 擒
據	拠 據
擬	儗 擬
擲	擿 擲
擴	拡 擴
攀	㐴 攀
攝	摂 攝
攪	撹 搞 攪
攬	擥 攬
收	収 㧃 收
效	俲 效
敉	侎 敉
敕	勅 勑 敕
敗	䢙 敗
敘	敍 敘
敦	惇 敦
敷	尃 旉 敷
斂	歛 斂
斤	觔 斤
斥	㡿 斥
於	扵 於
旗	旂 旗
既	旣 既
旦	蛋 旦
旭	旯 旮 旭
昂	昻 昂
明	朙 明
昏	昬 昏
映	暎 映
春	萅 春
是	昰 是
晁	朝 晁
時	旹 時
晃	晄 晃
晅	烜 晅
晚	晩 晚
晰	晢 晳 晰
暖	煖 暖
暢	昶 暢
暨	曁 暨
暴	虣 暴
暸	瞭 暸
曄	曅 曄
曆	歴 歷 厤 暦 曆
曉	暁 曉
曖	瞹 曖
曜	燿 耀 曜
曠	昿 曠
曳	曵 曳
更	㪅 更
曹	曺 曹
曼	㬅 曼
曾	曽 曾
朗	朖 朗 朗
望	朢 望
期	朞 期
朦	矇 懞 朦
本	夲 本
札	剳 箚 札
朵	朶 朵
村	邨 村
杷	朳 杷
果	菓 果
架	榢 架
柄	棅 柄
柏	栢 柏
柚	櫾 柚
柩	柾 柩
柳	檉 柳
柴	茈 柴
柿	枾 柿
桁	航 桁
桑	桒 桑
條	糶 條
梟	鴞 梟
梨	棃 梨
棋	棊 棋
棕	㯶 椶 棕
棧	桟 棧
棹	櫂 棹
椎	槌 椎
椒	茭 椒
椰	㭨 椰
楚	椘 楚
楞	稜 楞
楠	枬 枏 楠
楫	檝 艥 楫
概	槩 槪 概
榆	楡 榆
榦	乾 榦
榨	醡 榨
榮	栄 榮
榴	橊 榴
槁	槀 槁
構	搆 構
槌	棰 椎 槌
槓	篢 槓
樂	楽 樂
樊	棥 樊
樣	様 樣
樽	墫 罇 樽
橇	鞽 橇
橢	楕 橢
檐	簷 檐
檔	欓 檔
檜	栝 檜
檢	検 檢
檣	艢 檣
檯	枱 儓 檯
檳	㯽 梹 檳
櫂	棹 櫂
櫃	饋 樻 鐀 櫃
櫓	樐 艫 艣 舮 艪 㯭 櫓
櫝	匵 櫝
櫥	櫉 櫥
